SubmissionID,TitleOverride,AuthorOverride,LinkToPDFOverride,LinkToPDFOverrideActive,IsModerator,UpdatedAt
ZjLgXeV,,,,,True,2026-04-29T15:24:58
ZjLr46e,,,,,True,2026-04-29T15:29:09
b5ypLWo,,,,,True,2026-04-23T08:34:15
dW1ybVN,Long-term Land Inequality and Post-Colonial Land Reform in Egypt (1896-2020),Rowaida Moshrif,,,True,2026-04-29T15:27:27
dWpbRAV,The Shared Socio-economic Pathways of global welfare: A sub-national database integrating income inequality and  climate change impacts,Fabrice Murtin,,,,2026-04-29T16:00:36
eq86Lox,,,,,True,2026-04-29T15:54:27
eqjr15x,,,,,True,2026-04-29T14:46:07
gDplN0D,,,,,True,2026-04-29T15:22:47
jaXDylY,,,,,True,2026-04-29T15:51:08
jagovdQ,,,,,True,2026-04-29T14:45:06
lb9g5OV,Attribution Bias by Gender,Karmini Sharma,,,,2026-04-29T16:04:05
ob1WyWO,"Transitions toward Dematerialization and Environmental Inequalities in Latin America: CO₂ Emissions, Material Consumption and Material Footprint in the Framework of the World Inequality Conference 2026 (1970–2024)",Fander Falconi Benitez,,,,2026-04-29T14:50:09
obY68YO,Estimating the Muslim Wage Penalty,Pauline Corblet,,,True,2026-04-29T16:07:57
obaQWR1,Offshoring wage inequality in tax havens,Gabriel Smagghue,,,,2026-04-29T15:54:27
obaVMYx,,,,,True,2026-04-29T15:30:54
obaZLLM,Understanding distortions in Gini coefficient comparisons:   Isogini measures of income and wealth distributions with WID 2010-2020,Louis Chauvel,,,,2026-04-29T14:48:37
obadaB1,,,,True,,2026-05-04T16:31:09
pb69xgb,"‘Diminishing One Gap, Widening Another’: Unintended Consequences of Adult Literacy on Medium-Term Child Dropouts in India",Sulagna Bhattacharya,,,,2026-04-29T14:47:59
pb6Ex68,,,,,True,2026-04-29T15:29:27
pb6PR48,,,,,True,2026-04-29T15:57:15
pb6kZZJ,,,,,True,2026-04-29T15:52:18
q47qVE7,Households' food carbon footprints,Ondine Berland,,,True,2026-04-29T14:50:09
rjbBqgv,,,,,True,2026-04-29T14:54:11
rjbQdvL,Mapping subnational price differences across countries: Evidence from OECD regions,Juergen Amann,,,True,2026-04-29T14:44:23
vGvVg08,Regional wealth inequality in Spain: Evidence from the Spain wealth Atlas,Dmitry Petrov,,,,2026-04-29T14:44:23
vGvx94g,,,,,True,2026-04-29T14:52:17
xXLB87v,The Geography of Fuel Tax Incidence,Giulia Tani,,,,2026-04-17T15:06:27
xXLEDGy,From Creative Destruction to Creative Appropriation – Rethinking Growth in Intellectual Monopoly Capitalism,Linus Zechlin,,,,2026-04-29T15:59:31
xXLEbd9,,,,,True,2026-04-29T14:36:15
xxxAdd3,,,,,True,2026-04-29T15:35:38
xxxAdd4,,,,,True,2026-04-29T15:22:36
xxxAdd5,"Global Labour Hours in Paid and Unpaid Work: Productivity and Structural Transformation, 1800-2100",Romaine Loubes,,,,2026-04-29T14:45:06
xxxAdd6,"Human Capital, Unequal Opportunities and Productivity Convergence: A Global Historical Perspective, 1800-2100",Thanasak Mark Jenmana,,,True,2026-04-29T16:08:38
yPpbzo8,,,,,True,2026-04-29T16:01:03
yPpr78p,Asset Tests and Household Dissaving: Evidence from Spanish Minimum Income Scheme; Regional wealth inequality in Spain: evidence from the Spain Wealth Atlas,Dmitry Petrov,,,,2026-04-29T15:23:01
zx4XMME,,,,,True,2026-04-29T15:55:14
ASEntry1,,,,,True,2026-04-29T15:58:05
ASEntry3,Understanding Survey Income Errors Using Linked Administrative Data,Dongwoong Seo,,,,2026-04-17T15:00:49
ASEntry6,,,,,True,2026-04-29T14:35:36
xxxAdd10,,,,,True,2026-04-29T14:53:13
xxxAdd11,,,,,True,2026-04-29T14:42:24
MANUAL-BA2CAC46,Equality and Development: A Comparative & Historical Perspective 1800-2025,Manuel Esteban Arias-Osorio,,,,2026-04-29T14:52:17
