SessionId,SessionCode,Status,DayLabel,DayNum,BlockLabel,BlockNum,TimeLabel,StartMin,EndMin,Room,Capacity,Source,UpdatedAt
9b3ed785-58c5-52a3-a353-e9c05addc8f7,D2-B3-R2-21,active,Day 2 (5th June),2,SESSION 3,3,14h00-15h30,840,930,R2-21,4,template,2026-03-09T09:40:50
9b81adf0-bbf5-5aa7-8ae7-80cb4848e870,D2-B3-R1-10,active,Day 2 (5th June),2,SESSION 3,3,14h00-15h30,840,930,R1-10,4,template,2026-03-09T09:40:50
a1d6fdf3-7270-5aa4-80e3-473480084e1d,D2-B4-TBD-B,active,Day 2 (5th June),2,SESSION 4,4,16h00-17h30,960,1050,TBD-B,4,template,2026-03-09T09:40:50
a2e83f99-35e1-5d1a-86c3-331f3229cc75,D3-B3-R3-71,active,Day 3 (6th June),3,SESSION 3,3,14h00-15h30,840,930,R3-71,4,template,2026-03-09T09:40:50
accae8d9-491f-5dec-abdb-92a4c46e8fb8,D3-B2-R2-01,active,Day 3 (6th June),3,SESSION 2,2,11h30-13h00,690,780,R2-01,4,template,2026-03-09T09:40:50
ad22a049-0377-59a2-be44-10f92dbc12d2,D2-B2-R1-09,active,Day 2 (5th June),2,SESSION 2,2,11h30-13h00,690,780,R1-09,4,template,2026-03-09T09:40:50
ae11df5a-5c45-54a1-aeda-9cf5f855f737,D3-B3-TBD-A,active,Day 3 (6th June),3,SESSION 3,3,14h00-15h30,840,930,TBD-A,4,template,2026-03-09T09:40:50
b2df1c97-1cc2-542f-8d98-d5a7ccdce4c0,D3-B1-R2-01,active,Day 3 (6th June),3,SESSION 1,1,9h30-11h00,570,660,R2-01,4,template,2026-03-09T09:40:50
be68d6ec-17cf-5946-9798-f679a3739a81,D2-B4-TBD-C,active,Day 2 (5th June),2,SESSION 4,4,16h00-17h30,960,1050,TBD-C,4,template,2026-03-09T09:40:50
bea91d85-2037-5c80-8095-b1d16d1a3b69,D2-B4-R2-21,active,Day 2 (5th June),2,SESSION 4,4,16h00-17h30,960,1050,R2-21,4,template,2026-03-09T09:40:50
c040ca03-5a2e-565d-b328-a889f0d6bd24,D3-B3-R2-01,active,Day 3 (6th June),3,SESSION 3,3,14h00-15h30,840,930,R2-01,4,template,2026-03-09T09:40:50
c1d88216-5324-5a47-bdc7-da54ebf27b49,D3-B1-R2-21,active,Day 3 (6th June),3,SESSION 1,1,9h30-11h00,570,660,R2-21,4,template,2026-03-09T09:40:50
c39d5181-fe34-5d91-a10a-d23cd0855326,D1-B1-R2-20,active,Day 1 (4th June),1,SESSION 1,1,11h30-13h00,690,780,R2-20,4,template,2026-03-09T09:40:50
c5b871ce-6aee-5067-8bbf-ccdd35b379d5,D1-B1-TBD-B,active,Day 1 (4th June),1,SESSION 1,1,11h30-13h00,690,780,TBD-B,4,template,2026-03-09T09:40:50
cccd4d03-347d-52b0-b665-32aa63eeffd8,D3-B3-R1-10,active,Day 3 (6th June),3,SESSION 3,3,14h00-15h30,840,930,R1-10,4,template,2026-03-09T09:40:50
cda98b9f-87ed-54b3-92c7-790687dc2106,D3-B1-R1-09,active,Day 3 (6th June),3,SESSION 1,1,9h30-11h00,570,660,R1-09,4,template,2026-03-09T09:40:50
d061a2e3-8e15-5d4c-823f-bbb3b7261e6d,D1-B3-R2-01,active,Day 1 (4th June),1,SESSION 3,3,16h00-17h30,960,1050,R2-01,4,template,2026-03-09T09:40:50
d30149c9-7b15-5a97-aa72-e9e5755eea67,D2-B3-R3-71,active,Day 2 (5th June),2,SESSION 3,3,14h00-15h30,840,930,R3-71,4,template,2026-03-09T09:40:50
d428973d-a7d4-54e4-b686-c46994d469dc,D1-B2-R2-20,active,Day 1 (4th June),1,SESSION 2,2,14h00-15h30,840,930,R2-20,4,template,2026-03-09T09:40:50
d43d90bd-6011-5501-9e3d-c96cee718ee9,D2-B2-R2-21,active,Day 2 (5th June),2,SESSION 2,2,11h30-13h00,690,780,R2-21,4,template,2026-03-09T09:40:50
ddffb4ab-92ad-59fd-88f4-b232a74ade81,D3-B2-TBD-A,active,Day 3 (6th June),3,SESSION 2,2,11h30-13h00,690,780,TBD-A,4,template,2026-03-09T09:40:50
deb4e105-4f8c-51f2-840e-fc0742ac3a57,D1-B1-R2-21,active,Day 1 (4th June),1,SESSION 1,1,11h30-13h00,690,780,R2-21,4,template,2026-03-09T09:40:50
dfd53cf4-0451-5b00-b8e8-037781e991f4,D1-B2-TBD-B,active,Day 1 (4th June),1,SESSION 2,2,14h00-15h30,840,930,TBD-B,4,template,2026-03-09T09:40:50
e4cd29f1-458a-5a2e-89c6-7907fa8ef9a6,D3-B3-R1-09,active,Day 3 (6th June),3,SESSION 3,3,14h00-15h30,840,930,R1-09,4,template,2026-03-09T09:40:50
e563db19-44ce-54ff-819a-d0a9a42ec08d,D1-B3-R2-20,active,Day 1 (4th June),1,SESSION 3,3,16h00-17h30,960,1050,R2-20,4,template,2026-03-09T09:40:50
e5916265-4004-5fac-8378-9594e1b32d11,D1-B1-R2-01,active,Day 1 (4th June),1,SESSION 1,1,11h30-13h00,690,780,R2-01,4,template,2026-03-09T09:40:50
e935d0b6-13cc-5def-b109-5ec23fdacf31,D2-B3-R1-09,active,Day 2 (5th June),2,SESSION 3,3,14h00-15h30,840,930,R1-09,4,template,2026-03-09T09:40:50
e986af98-f462-5a10-98ce-0eb2f2de5d7b,D2-B1-R2-01,active,Day 2 (5th June),2,SESSION 1,1,9h30-11h00,570,660,R2-01,4,template,2026-03-09T09:40:50
eba1a77d-338c-5e5b-bbc0-2ccc6e36359b,D3-B3-R2-21,active,Day 3 (6th June),3,SESSION 3,3,14h00-15h30,840,930,R2-21,4,template,2026-03-09T09:40:50
f1d03e3c-17e5-51d6-bf6b-ac16698b1575,D2-B1-TBD-B,active,Day 2 (5th June),2,SESSION 1,1,9h30-11h00,570,660,TBD-B,4,template,2026-03-09T09:40:50
fc078143-8b47-5477-92aa-5b10e01e9606,D3-B1-R3-71,active,Day 3 (6th June),3,SESSION 1,1,9h30-11h00,570,660,R3-71,4,template,2026-03-09T09:40:50
ffc71895-1fc2-5e86-8300-a9a5e5cda87f,D2-B1-TBD-A,active,Day 2 (5th June),2,SESSION 1,1,9h30-11h00,570,660,TBD-A,4,template,2026-03-09T09:40:50
