SubmissionID,OverridePrimaryTheme,OverrideSubtheme,Reviewed,OverrideNotes,UpdatedAt
J9Zbpbo,Gender inequality,"Care Work, Household Dynamics and Time Use",False,,2026-03-06T13:49:47
J9Zr2k7,Taxation and tax evasion,"Tax Incidence, Redistribution and Welfare Effects",False,,2026-03-06T13:49:47
J9xP0gd,Global inequality,"Asset Prices, Returns and Portfolio Dynamics",True,,2026-03-11T08:05:00
KYN4OW8,Inequality dynamics,"Top Incomes, Wealth Shares and Concentration",True,,2026-03-11T08:03:14
KYN4ovk,Inequality dynamics,Historical Measurement - General,True,,2026-03-11T08:03:14
KYNAvjD,Environmental inequalities,Carbon Pricing and Climate Policy Distributional Effects,False,,2026-03-06T13:49:47
KYNNdpX,Drivers,"Technology, Automation and Digital Transformation",True,,2026-03-11T08:05:12
KYNOVO7,Drivers,Labour shares,True,,2026-03-11T08:05:12
KYNOoWg,Taxation and tax evasion,"Corporate Taxation, Profit Shifting and Evasion",False,,2026-03-06T13:49:47
KYNZdQM,Inequality perceptions,"Information, Narratives and Belief Formation",False,,2026-03-06T13:49:47
KYRaz5g,Gender inequality,"Care Work, Household Dynamics and Time Use",False,,2026-03-06T13:49:47
KYyv2jV,Methods and measurement,Methodological Innovations in Inequality Research,True,,2026-03-11T08:03:34
LZqBvrJ,Methods and measurement,Methodological Innovations in Inequality Research,True,,2026-03-11T08:03:34
LZqJ8L2,Environmental inequalities,Carbon Pricing and Climate Policy Distributional Effects,False,,2026-03-06T13:49:47
MeQ29aE,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
MeQYA1g,Environmental inequalities,Emissions Accounting and Environmental Footprints,False,,2026-03-06T13:49:47
MeQbbg0,Global inequality,"Savings, Capital Accumulation and Wealth Mobility",True,,2026-03-11T08:05:00
MeQlKA0,Political inequalities,"Voting, Participation and Electoral Cleavages",False,,2026-03-06T13:49:47
MeQlkME,Methods and measurement,Methodological Innovations in Inequality Research,True,,2026-03-11T08:03:34
Meq4xYX,Methods and measurement,Methodological Innovations in Inequality Research,True,,2026-03-11T08:03:34
MeqXd0k,Gender inequality,Gender Inequality - General,False,,2026-03-06T13:49:47
NpQaJYb,Political inequalities,"State Capacity, Institutions and Policy Design",False,,2026-03-06T13:49:47
NpgjoVB,Taxation and tax evasion,"Tax Compliance, Administration and Enforcement",False,,2026-03-06T13:49:47
OD9Wga7,Inequality dynamics,Historical Measurement - General,True,,2026-03-11T08:03:14
ODe87qp,Income and wealth mobility,"Mobility Traps, Segregation and Stratification",False,,2026-03-06T13:49:47
ODe98Y7,Environmental inequalities,Carbon Pricing and Climate Policy Distributional Effects,False,,2026-03-06T13:49:47
ODeAXPK,Inequality dynamics,"Top Incomes, Wealth Shares and Concentration",True,,2026-03-11T08:03:14
ODeEEQ8,Gender inequality,Gender Wage Gaps and Labor Income Inequality,False,,2026-03-06T13:49:47
ODeK8YR,Inequality perceptions,Experimental and Survey Evidence on Inequality Attitudes,False,,2026-03-06T13:49:47
ODeV2PR,Drivers,Labour shares,True,,2026-03-11T08:05:12
ODeZ8Z8,Gender inequality,"Care Work, Household Dynamics and Time Use",False,,2026-03-06T13:49:47
ODerGpk,Inequality perceptions,Experimental and Survey Evidence on Inequality Attitudes,False,,2026-03-06T13:49:47
PdPYZNQ,Taxation and tax evasion,Taxation and Evasion - General,False,,2026-03-06T13:49:47
PdWJZG0,Drivers,"Macroeconomic Drivers: Inflation, Growth and Cycles",True,,2026-03-11T08:05:12
PdWLjGe,Methods and measurement,Methodological Innovations in Inequality Research,True,,2026-03-11T08:03:34
PdWyE6b,Income and wealth mobility,Intergenerational Mobility and Equality of Opportunity,False,,2026-03-06T13:49:47
Pde76Gb,Inequality dynamics,"Top Incomes, Wealth Shares and Concentration",True,,2026-03-11T08:03:14
PdelMQ5,Inequality dynamics,Historical Series and Archives,True,,2026-03-11T08:03:14
PdexX7e,Income and wealth mobility,Wealth mobility (FR),True,Historical series,2026-03-10T13:28:47
Pdg2Zbe,Political inequalities,"Polarization, Media and Democratic Trust",False,,2026-03-06T13:49:47
QKXojZA,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
QKaJA1G,Taxation and tax evasion,"Corporate Taxation, Profit Shifting and Evasion",False,,2026-03-06T13:49:47
QKaaeKA,Methods and measurement,Methodological Innovations in Inequality Research,True,,2026-03-11T08:03:34
QKaq9OA,Taxation and tax evasion,Taxation and Evasion - General,False,,2026-03-06T13:49:47
QKarvEX,Inequality dynamics,Historical Series and Archives,True,,2026-03-11T08:03:14
QKj2jxA,Political inequalities,"Voting, Participation and Electoral Cleavages",False,,2026-03-06T13:49:47
QKjXqWg,Income and wealth mobility,Income/Education mobility,True,,2026-03-10T13:30:20
RG2yxaK,Inequality dynamics,Distributional National Accounts and Data Infrastructure,True,,2026-03-11T08:03:14
RG6Q5MP,Political inequalities,"Voting, Participation and Electoral Cleavages",False,,2026-03-06T13:49:47
RG6QXQp,Methods and measurement,Methodological Innovations in Inequality Research,True,,2026-03-11T08:03:34
RG6QpLp,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
RG6VqXv,Global inequality,Global Wealth Dynamics - General,True,,2026-03-11T08:05:00
RG6aBWd,Income and wealth mobility,Intergenerational Mobility and Equality of Opportunity,False,,2026-03-06T13:49:47
RG6bKDj,Inequality dynamics,"Top Incomes, Wealth Shares and Concentration",True,,2026-03-11T08:03:14
RG6gYEl,Income and wealth mobility,Intergenerational Mobility and Equality of Opportunity,False,,2026-03-06T13:49:47
RG6lNed,Environmental inequalities,"Climate Justice, Vulnerability and Adaptation",False,,2026-03-06T13:49:47
VLADOPy,Taxation and tax evasion,"Corporate Taxation, Profit Shifting and Evasion",True,,2026-03-06T14:48:22
VLB68eN,Inequality dynamics,"Top Incomes, Wealth Shares and Concentration",True,,2026-03-11T08:03:14
VLB6Eqa,Land inequality,"Agricultural Productivity, Smallholders and Rural Inequality",False,,2026-03-06T13:49:47
VLBAeZ6,Political inequalities,Political Economy of Redistribution,False,,2026-03-06T13:49:47
VLBXQea,Inequality perceptions,Inequality Perceptions - General,False,,2026-03-06T13:49:47
VLBaRe6,Political inequalities,"State Capacity, Institutions and Policy Design",False,,2026-03-06T13:49:47
VLBdD1E,Drivers,"Technology, Automation and Digital Transformation",True,,2026-03-11T08:05:12
VLBveLa,Political inequalities,"State Capacity, Institutions and Policy Design",False,,2026-03-06T13:49:47
VLBxL4g,Drivers,"Technology, Automation and Digital Transformation",True,,2026-03-11T08:05:12
VLBy6eN,Drivers,"Firm Dynamics, Market Power and Productivity",True,,2026-03-11T08:05:12
WOZoQLj,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
WOgqP8e,Methods and measurement,Methodological Innovations in Inequality Research,True,,2026-03-11T08:03:34
WOk6qvP,Inequality perceptions,Perceptions of Fairness and Social Mobility,False,,2026-03-06T13:49:47
WOkBD0k,Inequality dynamics,Distributional National Accounts and Data Infrastructure,True,,2026-03-11T08:03:14
WOkXNGJ,Inequality dynamics,Historical Measurement - General,True,,2026-03-11T08:03:14
WOkYB8J,Political inequalities,Political Inequalities - General,False,,2026-03-06T13:49:47
WOkj14j,Drivers,"Macroeconomic Drivers: Inflation, Growth and Cycles",True,,2026-03-11T08:05:12
WOkpMgj,Drivers,Outsourcing,True,,2026-03-11T08:05:12
Xx8gDX4,Methods and measurement,Methodological Innovations in Inequality Research,True,,2026-03-11T08:03:34
XxkaKRY,Inequality dynamics,Historical Measurement - General,True,,2026-03-11T08:03:14
Xxkpb0d,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
XxvYZZP,Taxation and tax evasion,"Tax Incidence, Redistribution and Welfare Effects",False,,2026-03-06T13:49:47
Y5KKgVW,Drivers,"Technology, Automation and Digital Transformation",True,,2026-03-11T08:05:12
Y5Kbkad,Drivers,"Macroeconomic Drivers: Inflation, Growth and Cycles",True,,2026-03-11T08:05:12
Y5vANd0,Environmental inequalities,Carbon Pricing and Climate Policy Distributional Effects,False,,2026-03-06T13:49:47
Y5voxBJ,Methods and measurement,"Data Fusion, Harmonization and Measurement Error",True,,2026-03-11T08:03:34
ZjL7d20,Inequality dynamics,"Top Incomes, Wealth Shares and Concentration",True,,2026-03-11T08:03:14
ZjLAB8B,Inequality dynamics,Distributional National Accounts and Data Infrastructure,True,,2026-03-11T08:03:14
ZjLgXeV,Inequality dynamics,"Top Incomes, Wealth Shares and Concentration",True,,2026-03-11T08:03:14
ZjLr46e,Inequality dynamics,Automation,True,,2026-03-11T08:03:14
ZjLzKpz,Political inequalities,"Polarization, Media and Democratic Trust",True,,2026-03-06T14:48:22
ZjZE81e,Taxation and tax evasion,Wealth Taxation and Capital Income Tax Design,False,,2026-03-06T13:49:47
Zjyk77V,Political inequalities,"State Capacity, Institutions and Policy Design",False,,2026-03-06T13:49:47
aQPXB0b,Inequality dynamics,Historical Series and Archives,True,,2026-03-11T08:03:14
aQPgxav,Taxation and tax evasion,"Tax Incidence, Redistribution and Welfare Effects",False,,2026-03-06T13:49:47
aQgBVO9,Drivers,"Macroeconomic Drivers: Inflation, Growth and Cycles",True,,2026-03-11T08:05:12
b56X580,Taxation and tax evasion,"Tax Compliance, Administration and Enforcement",False,,2026-03-06T13:49:47
b5EEB2Z,Land inequality,"Agricultural Productivity, Smallholders and Rural Inequality",False,,2026-03-06T13:49:47
b5EEplg,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
b5EMBxE,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
b5EMdag,Gender inequality,Gender Inequality - General,False,,2026-03-06T13:49:47
b5ypLWo,Inequality perceptions,Perceptions of Fairness and Social Mobility,False,,2026-03-06T13:49:47
dW1M8Wz,Methods and measurement,Distributional Decomposition and Counterfactual Methods,True,,2026-03-11T08:03:34
dW1ybVN,Inequality dynamics,Land inequality,True,,2026-03-11T08:03:14
dW412MN,Taxation and tax evasion,"Corporate Taxation, Profit Shifting and Evasion",False,,2026-03-06T13:49:47
dW41vvN,Drivers,"Education, Skills and Human Capital Channels",True,,2026-03-11T08:05:12
dW47gjd,Environmental inequalities,Carbon Pricing and Climate Policy Distributional Effects,False,,2026-03-06T13:49:47
dW4jBMD,Income and wealth mobility,Intergenerational Mobility and Equality of Opportunity,False,,2026-03-06T13:49:47
dWpbRAV,Environmental inequalities,"Climate Justice, Vulnerability and Adaptation",False,,2026-03-06T13:49:47
eq86Lox,Taxation and tax evasion,"Tax Compliance, Administration and Enforcement",False,,2026-03-06T13:49:47
eqj724E,Gender inequality,Gender Wage Gaps and Labor Income Inequality,False,,2026-03-06T13:49:47
eqjjA9o,Inequality dynamics,Discrimination (caste),True,,2026-03-11T08:03:14
eqjr15x,Political inequalities,"State Capacity, Institutions and Policy Design",False,,2026-03-06T13:49:47
eqjxgDl,Inequality dynamics,Historical Measurement - General,True,,2026-03-11T08:03:14
eqjy54k,Taxation and tax evasion,Wealth Taxation and Capital Income Tax Design,False,,2026-03-06T13:49:47
eqjydAO,Environmental inequalities,Environmental Inequalities - General,False,,2026-03-06T13:49:47
gD1E0ED,Methods and measurement,"Data Fusion, Harmonization and Measurement Error",True,,2026-03-11T08:03:34
gDplN0D,Inequality dynamics,Historical Series and Archives,True,,2026-03-11T08:03:14
gDrpqZJ,Income and wealth mobility,Intergenerational Mobility and Equality of Opportunity,False,,2026-03-06T13:49:47
gDx5JaN,Inequality dynamics,Regional and Global Comparison of Inequality Trajectories,True,,2026-03-11T08:03:14
gDxxKyK,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
jaXDylY,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
jaYd8W6,Income and wealth mobility,Intergenerational Mobility and Equality of Opportunity,False,,2026-03-06T13:49:47
jagovdQ,Inequality dynamics,Historical Series and Archives,True,,2026-03-11T08:03:14
jaqEpx6,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
jaqLBa4,Political inequalities,"State Capacity, Institutions and Policy Design",False,,2026-03-06T13:49:47
jaqNON9,Political inequalities,Political Inequalities - General,False,,2026-03-06T13:49:47
jaqWYB6,Gender inequality,"Gendered Institutions, Norms and Social Exclusion",False,,2026-03-06T13:49:47
jaqjP1J,Political inequalities,"State Capacity, Institutions and Policy Design",False,,2026-03-06T13:49:47
jaqp4oY,Inequality perceptions,Experimental and Survey Evidence on Inequality Attitudes,False,,2026-03-06T13:49:47
kdQ4Gx1,Inequality dynamics,Sectoral bargaining,True,,2026-03-11T08:03:14
kdQrJdJ,Inequality dynamics,Distributional National Accounts and Data Infrastructure,True,,2026-03-11T08:03:14
kdpjbPr,Political inequalities,"State Capacity, Institutions and Policy Design",False,,2026-03-06T13:49:47
kdxb6Xd,Gender inequality,"Care Work, Household Dynamics and Time Use",False,,2026-03-06T13:49:47
lb1G8vk,Inequality dynamics,Regional and Global Comparison of Inequality Trajectories,True,,2026-03-11T08:03:14
lb1aE66,Taxation and tax evasion,"Corporate Taxation, Profit Shifting and Evasion",False,,2026-03-06T13:49:47
lb91oKV,Taxation and tax evasion,"Tax Incidence, Redistribution and Welfare Effects",False,,2026-03-06T13:49:47
lb9g5OV,Gender inequality,"Gendered Institutions, Norms and Social Exclusion",False,,2026-03-06T13:49:47
lbY5DWV,Inequality dynamics,Historical Series and Archives,True,,2026-03-11T08:03:14
ob1JeoM,Environmental inequalities,"Energy Transition, Fossil Lock-in and Decarbonization",False,,2026-03-06T13:49:47
ob1WyWO,Environmental inequalities,"Energy Transition, Fossil Lock-in and Decarbonization",False,,2026-03-06T13:49:47
ob1jKBM,Drivers,"Education,  Peer Effects",True,,2026-03-11T08:40:16
obQjNYb,Drivers,Bargaining Power,True,,2026-03-11T08:05:12
obY68YO,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
obaEXbO,Inequality dynamics,Distributional National Accounts and Data Infrastructure,True,,2026-03-11T08:03:14
obaQWR1,Taxation and tax evasion,"Corporate Taxation, Profit Shifting and Evasion",False,,2026-03-06T13:49:47
obaRReb,Taxation and tax evasion,"Tax Incidence, Redistribution and Welfare Effects",False,,2026-03-06T13:49:47
obaVMYx,Income and wealth mobility,Perceived mobility,True,,2026-03-10T13:31:40
obaZ8DM,Inequality dynamics,Historical Series and Archives,True,,2026-03-11T08:03:14
obaZLLM,Methods and measurement,Distributional Decomposition and Counterfactual Methods,True,,2026-03-11T08:03:34
obaaMBx,Methods and measurement,Methodological Innovations in Inequality Research,True,,2026-03-11T08:03:34
obaaVOP,Gender inequality,"Gendered Institutions, Norms and Social Exclusion",False,,2026-03-06T13:49:47
obadaB1,Drivers,"Macroeconomic Drivers: Inflation, Growth and Cycles",True,,2026-03-11T08:05:12
obaxVWO,Drivers,Discrimination (castes),True,,2026-03-11T08:05:12
pb69AGZ,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
pb69W6V,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
pb69xgb,Inequality perceptions,Inequality Perceptions - General,False,,2026-03-06T13:49:47
pb6Ex68,Methods and measurement,Methodological Innovations in Inequality Research,True,,2026-03-11T08:03:34
pb6PR48,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
pb6kZZJ,Inequality dynamics,Historical Measurement - General,True,,2026-03-11T08:03:14
q47X7Ek,Political inequalities,"Voting, Participation and Electoral Cleavages",False,,2026-03-06T13:49:47
q47XQa2,Gender inequality,"Gendered Institutions, Norms and Social Exclusion",False,,2026-03-06T13:49:47
q47bbqg,Inequality dynamics,"Top Incomes, Wealth Shares and Concentration",True,,2026-03-11T08:03:14
q47qVE7,Environmental inequalities,Carbon Pricing and Climate Policy Distributional Effects,False,,2026-03-06T13:49:47
q47qlvO,Inequality dynamics,"Top Incomes, Wealth Shares and Concentration",True,,2026-03-11T08:03:14
q4k6egd,Gender inequality,"Gender, Violence and Bodily Autonomy",False,,2026-03-06T13:49:47
q4p1Wl8,Environmental inequalities,Environmental Inequalities - General,False,,2026-03-06T13:49:47
rj1Nqdp,Inequality dynamics,"Top Incomes, Wealth Shares and Concentration",True,,2026-03-11T08:03:14
rjYXeXo,Global inequality,Global Wealth Convergence and Divergence,True,,2026-03-11T08:05:00
rjbBqgv,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
rjbQdvL,Methods and measurement,Methodological Innovations in Inequality Research,True,,2026-03-11T08:03:34
rjbb9N5,Drivers,"Technology, Automation and Digital Transformation",True,,2026-03-11T08:05:12
vGbOvov,Political inequalities,"Voting, Participation and Electoral Cleavages",False,,2026-03-06T13:49:47
vGvVg08,Inequality dynamics,"Top Incomes, Wealth Shares and Concentration",True,,2026-03-11T08:03:14
vGvVkWd,Environmental inequalities,Carbon Pricing and Climate Policy Distributional Effects,False,,2026-03-06T13:49:47
vGvaRMQ,Environmental inequalities,Environmental Inequalities - General,False,,2026-03-06T13:49:47
vGvx94g,Environmental inequalities,Carbon Pricing and Climate Policy Distributional Effects,False,,2026-03-06T13:49:47
xX6y5Xv,Inequality perceptions,Experimental and Survey Evidence on Inequality Attitudes,False,,2026-03-06T13:49:47
xXL7QXk,Inequality dynamics,"Top Incomes, Wealth Shares and Concentration",True,,2026-03-11T08:03:14
xXL7jBk,Political inequalities,"Polarization, Media and Democratic Trust",False,,2026-03-06T13:49:47
xXLB87v,Environmental inequalities,Carbon Pricing and Climate Policy Distributional Effects,False,,2026-03-06T13:49:47
xXLBNeG,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
xXLEDGy,Drivers,"Top wealth, productivity",True,,2026-03-11T08:27:59
xXLEbd9,Inequality dynamics,Historical Series and Archives,True,,2026-03-11T08:03:14
xXLLlly,Drivers,"Education, Skills and Human Capital Channels",True,,2026-03-11T08:05:12
xXLWW85,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
